epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7728,1.18092,2.03431,1.40577,0.77477,0.71733,0.80795,0.49864,1.28588,1.59723,1.52987,0.00332902,0.00332902,0.00332902
2,102.063,1.13669,1.40907,1.37035,0.79536,0.68662,0.77971,0.51065,1.30084,1.31475,1.62762,0.00664036,0.00664036,0.00664036
3,144.836,1.24239,1.40746,1.45697,0.50329,0.34817,0.38792,0.20089,1.90855,2.31729,2.29015,0.00992971,0.00992971,0.00992971
4,185.954,1.29968,1.40641,1.49476,0.76816,0.63658,0.75481,0.46542,1.5233,1.3088,1.80332,0.009901,0.009901,0.009901
5,228.371,1.22044,1.29919,1.45189,0.8063,0.71587,0.8159,0.54465,1.33158,1.11105,1.64433,0.009868,0.009868,0.009868
6,276.445,1.15992,1.18082,1.40663,0.80761,0.72352,0.83665,0.56057,1.28767,1.05614,1.57528,0.009835,0.009835,0.009835
7,318.325,1.10152,1.12183,1.37112,0.81654,0.73205,0.83758,0.57046,1.28313,1.01473,1.61366,0.009802,0.009802,0.009802
8,360.466,1.05168,1.05353,1.34047,0.80924,0.7057,0.81302,0.54393,1.33126,1.08593,1.70281,0.009769,0.009769,0.009769
9,401.925,1.01412,1.00042,1.3151,0.8236,0.72421,0.82924,0.57814,1.21369,1.04216,1.52832,0.009736,0.009736,0.009736
10,443.771,0.98937,0.96538,1.29696,0.83111,0.74414,0.86044,0.6037,1.17246,0.94606,1.50767,0.009703,0.009703,0.009703
11,487.398,0.96265,0.93134,1.28055,0.79942,0.72962,0.82994,0.5666,1.30943,0.99393,1.66438,0.00967,0.00967,0.00967
12,529.771,0.931,0.9002,1.26152,0.84024,0.7179,0.84286,0.59451,1.18843,0.97166,1.53075,0.009637,0.009637,0.009637
